Daily rainfall(in mm) trends for Darjiling from 18-Mar-2014 to 18-Mar-2024

Dates,NORMAL (mm) ,ACTUAL (mm) 
"18-Mar-2014",0.9,0
"19-Mar-2014",1.3,2.59
"20-Mar-2014",1.4,2.81
"21-Mar-2014",2,4.88
"22-Mar-2014",1,0.17
"23-Mar-2014",2,3.28
"24-Mar-2014",1.9,1.3
"25-Mar-2014",2.5,0.03
"26-Mar-2014",1.6,5.84
"27-Mar-2014",1.9,0
"28-Mar-2014",2.3,0.36
"29-Mar-2014",0.7,0.09
"30-Mar-2014",1.5,0
"31-Mar-2014",3.3,0
"01-Apr-2014",1,0
"02-Apr-2014",1.5,0
"03-Apr-2014",2,0.1
"04-Apr-2014",1.1,0.47
"05-Apr-2014",0.7,0.65
"06-Apr-2014",1.2,0.23
"07-Apr-2014",1,0.44
"08-Apr-2014",2.3,15.8
"09-Apr-2014",1.3,0.21
"10-Apr-2014",2.4,0.89
"11-Apr-2014",2,0.52
"12-Apr-2014",1.3,0
"13-Apr-2014",4,0.13
"14-Apr-2014",2.2,0
"15-Apr-2014",2.3,0.1
"16-Apr-2014",2.4,0.32
"17-Apr-2014",2.3,0
"18-Apr-2014",4.1,0.68
"19-Apr-2014",3.9,0.22
"20-Apr-2014",2.9,1.57
"21-Apr-2014",3.5,0
"22-Apr-2014",3.4,0
"23-Apr-2014",3.4,0
"24-Apr-2014",2.5,0
"25-Apr-2014",3.1,0
"26-Apr-2014",3.5,0
"27-Apr-2014",4.7,0.6
"28-Apr-2014",4.4,10.88
"29-Apr-2014",5.2,0
"30-Apr-2014",6.8,3.26
"01-May-2014",5.7,10.51
"02-May-2014",6.8,28.16
"03-May-2014",5.8,1.47
"04-May-2014",7.1,12.19
"05-May-2014",5.9,3.33
"06-May-2014",2.7,4.27
"07-May-2014",4.1,3.66
"08-May-2014",6,11.86
"09-May-2014",6,2.98
"10-May-2014",4.2,0.63
"11-May-2014",5.7,0.07
"12-May-2014",7.5,51.56
"13-May-2014",6.9,1.84
"14-May-2014",7.2,2.89
"15-May-2014",6.5,0.34
"16-May-2014",5.3,3.84
"17-May-2014",5.6,0.99
"18-May-2014",4.2,1.82
"19-May-2014",4.6,6.74
"20-May-2014",7.1,19.4
"21-May-2014",4.9,1.02
"22-May-2014",7,18.26
"23-May-2014",4.7,4.3
"24-May-2014",5.9,8.56
"25-May-2014",6.5,0.13
"26-May-2014",6.8,3.43
"27-May-2014",8.6,5.02
"28-May-2014",10.4,33.47
"29-May-2014",7.1,79.54
"30-May-2014",4.3,0
"31-May-2014",7.1,0
"01-Jun-2014",11,0
"02-Jun-2014",7.8,2.3
"03-Jun-2014",10.1,48.28
"04-Jun-2014",8,7.4
"05-Jun-2014",12.8,37.46
"06-Jun-2014",9.3,30.89
"07-Jun-2014",12.9,44.3
"08-Jun-2014",10.5,31.86
"09-Jun-2014",15.2,23.9
"10-Jun-2014",14.1,1.54
"11-Jun-2014",14.3,13.65
"12-Jun-2014",21.8,14.61
"13-Jun-2014",21.9,22.56
"14-Jun-2014",13.5,28.67
"15-Jun-2014",16.3,0.11
"16-Jun-2014",16.4,5.55
"17-Jun-2014",19.5,4.22
"18-Jun-2014",20.2,11.46
"19-Jun-2014",19,4.72
"20-Jun-2014",16.6,19.61
"21-Jun-2014",17.9,43.61
"22-Jun-2014",18.5,27.36
"23-Jun-2014",19.4,27.12
"24-Jun-2014",24.7,28.09
"25-Jun-2014",19.1,79.52
"26-Jun-2014",24.2,1.04
"27-Jun-2014",22.6,23.99
"28-Jun-2014",18.6,54.52
"29-Jun-2014",22.3,45.06
"30-Jun-2014",29,32.97
"01-Jul-2014",31,21.4
"02-Jul-2014",28.5,4.21
"03-Jul-2014",21.1,9.5
"04-Jul-2014",19.8,7.65
"05-Jul-2014",21.7,21.74
"06-Jul-2014",27.2,20.17
"07-Jul-2014",21.1,0.92
"08-Jul-2014",25.8,37.09
"09-Jul-2014",24.7,21.91
"10-Jul-2014",23.8,13.55
"11-Jul-2014",22.1,39.59
"12-Jul-2014",23.5,2.2
"13-Jul-2014",24.1,24.5
"14-Jul-2014",26,3.46
"15-Jul-2014",25.3,21.64
"16-Jul-2014",19.4,11.03
"17-Jul-2014",24.6,14.24
"18-Jul-2014",27.7,14.08
"19-Jul-2014",24.1,13.05
"20-Jul-2014",22.4,2.42
"21-Jul-2014",26.8,6.26
"22-Jul-2014",28.7,12.21
"23-Jul-2014",20.8,5.71
"24-Jul-2014",25.7,21.27
"25-Jul-2014",28.9,4.26
"26-Jul-2014",26.4,6.9
"27-Jul-2014",22.2,0.54
"28-Jul-2014",32.7,19.23
"29-Jul-2014",20.7,1.84
"30-Jul-2014",24.3,39.81
"31-Jul-2014",25.2,4.55
"01-Aug-2014",21.1,11.58
"02-Aug-2014",14.6,29.6
"03-Aug-2014",18.6,10.48
"04-Aug-2014",15,26.72
"05-Aug-2014",16,26.83
"06-Aug-2014",11.9,4.98
"07-Aug-2014",20,11.18
"08-Aug-2014",19.8,2.48
"09-Aug-2014",19.5,20.53
"10-Aug-2014",18.4,14.44
"11-Aug-2014",22.7,16.65
"12-Aug-2014",22.6,13.91
"13-Aug-2014",15.2,35.77
"14-Aug-2014",20.5,25.98
"15-Aug-2014",17.1,113.14
"16-Aug-2014",16.6,24.13
"17-Aug-2014",22,1.7
"18-Aug-2014",17.6,40.45
"19-Aug-2014",17.8,20.43
"20-Aug-2014",20.3,55.97
"21-Aug-2014",19.8,31.62
"22-Aug-2014",14.7,54.62
"23-Aug-2014",18.2,27.89
"24-Aug-2014",21,13.01
"25-Aug-2014",23.3,59.81
"26-Aug-2014",20.5,102.25
"27-Aug-2014",18.2,6.35
"28-Aug-2014",14.6,0.82
"29-Aug-2014",11.6,12.77
"30-Aug-2014",14.2,0.95
"31-Aug-2014",12.1,21.38
"01-Sep-2014",14.4,12.53
"02-Sep-2014",16.3,2.89
"03-Sep-2014",16.6,0.04
"04-Sep-2014",17.1,2.27
"05-Sep-2014",19.2,13.08
"06-Sep-2014",24,18.61
"07-Sep-2014",17.1,4.2
"08-Sep-2014",14.7,30.93
"09-Sep-2014",10.7,98.47
"10-Sep-2014",14.4,31.74
"11-Sep-2014",19.5,4.4
"12-Sep-2014",14.9,1.73
"13-Sep-2014",14.1,20.84
"14-Sep-2014",15.5,4.55
"15-Sep-2014",17.3,18.47
"16-Sep-2014",16.8,4.5
"17-Sep-2014",12.8,0.19
"18-Sep-2014",12.7,3.83
"19-Sep-2014",16.5,14.72
"20-Sep-2014",11.4,30.72
"21-Sep-2014",8.1,66.46
"22-Sep-2014",8.1,20.55
"23-Sep-2014",15.7,4.37
"24-Sep-2014",8.6,1.96
"25-Sep-2014",8.3,3.69
"26-Sep-2014",10.8,31.4
"27-Sep-2014",12.7,70.02
"28-Sep-2014",13.9,2.24
"29-Sep-2014",12.6,4.41
"30-Sep-2014",9.4,0.39
"01-Oct-2014",12.1,1.81
"02-Oct-2014",9.5,0
"03-Oct-2014",7.9,0
"04-Oct-2014",10.7,0
"05-Oct-2014",16.4,0
"06-Oct-2014",4.3,0
"07-Oct-2014",5.1,0
"08-Oct-2014",2.3,0
"09-Oct-2014",3.1,0
"10-Oct-2014",4.8,0.63
"11-Oct-2014",2.8,0
"12-Oct-2014",3.8,0.63
"13-Oct-2014",5.6,5.93
"14-Oct-2014",3.4,0.22
"15-Oct-2014",4.1,14.93
"16-Oct-2014",1.3,0
"17-Oct-2014",3.2,0.32
"18-Oct-2014",6.1,0
"19-Oct-2014",3.4,0
"20-Oct-2014",2,0
"21-Oct-2014",1.5,0
"22-Oct-2014",3,0
"23-Oct-2014",1.8,0
"24-Oct-2014",2.4,0
"25-Oct-2014",0.8,0
"26-Oct-2014",1,0.03
"27-Oct-2014",0.8,0
"28-Oct-2014",0.2,0
"29-Oct-2014",0,5.74
"30-Oct-2014",0.8,0.24
"31-Oct-2014",1.1,0
"01-Nov-2014",0.8,0
"02-Nov-2014",0.5,0
"03-Nov-2014",0.9,0
"04-Nov-2014",0.9,0
"05-Nov-2014",0.7,0
"06-Nov-2014",0.2,0
"07-Nov-2014",0.7,0
"08-Nov-2014",0.2,0
"09-Nov-2014",0.2,0
"10-Nov-2014",0.1,0
"11-Nov-2014",0.2,0
"12-Nov-2014",0.4,0
"13-Nov-2014",0.1,0
"14-Nov-2014",0.2,0
"15-Nov-2014",0.4,0.05
"16-Nov-2014",0.1,0.02
"17-Nov-2014",0,0.02
"18-Nov-2014",0.2,0
"19-Nov-2014",0.1,0
"20-Nov-2014",0.2,0.2
"21-Nov-2014",0.4,0
"22-Nov-2014",0.3,0
"23-Nov-2014",0.1,0
"24-Nov-2014",0,0
"25-Nov-2014",0,0
"26-Nov-2014",0.2,0
"27-Nov-2014",0.2,0.11
"28-Nov-2014",0.3,1.37
"29-Nov-2014",0.5,0.26
"30-Nov-2014",0.8,0
"01-Dec-2014",0.6,0
"02-Dec-2014",0.2,0
"03-Dec-2014",0.3,0
"04-Dec-2014",0,0
"05-Dec-2014",0.1,0
"06-Dec-2014",0.2,0
"07-Dec-2014",0,0
"08-Dec-2014",0,0
"09-Dec-2014",0.1,0
"10-Dec-2014",0,0
"11-Dec-2014",0.1,0
"12-Dec-2014",0.2,0
"13-Dec-2014",0,0
"14-Dec-2014",0,0.01
"15-Dec-2014",0.1,0.07
"16-Dec-2014",0,0.23
"17-Dec-2014",0,0.64
"18-Dec-2014",0.2,0
"19-Dec-2014",0.2,0
"20-Dec-2014",0,0
"21-Dec-2014",0,0
"22-Dec-2014",0,0
"23-Dec-2014",0,0
"24-Dec-2014",0,0
"25-Dec-2014",0,0
"26-Dec-2014",0.1,0
"27-Dec-2014",0.5,0.08
"28-Dec-2014",0.4,0
"29-Dec-2014",0.1,0
"30-Dec-2014",0,0
"31-Dec-2014",0.2,0
"01-Jan-2015",0,0
"02-Jan-2015",0.2,0
"03-Jan-2015",0.4,0.72
"04-Jan-2015",0.7,2.41
"05-Jan-2015",1.2,0
"06-Jan-2015",0.1,0.32
"07-Jan-2015",0.5,0.16
"08-Jan-2015",0.3,0.16
"09-Jan-2015",1.8,1.66
"10-Jan-2015",1.5,0
"11-Jan-2015",0,0
"12-Jan-2015",0.1,0
"13-Jan-2015",0.2,0
"14-Jan-2015",0,0
"15-Jan-2015",0.5,0
"16-Jan-2015",0.5,0
"17-Jan-2015",0.4,0
"18-Jan-2015",0.3,0
"19-Jan-2015",0.6,0
"20-Jan-2015",0.2,0
"21-Jan-2015",0.4,0
"22-Jan-2015",0.6,0
"23-Jan-2015",0.7,0
"24-Jan-2015",0.4,0
"25-Jan-2015",0.5,0
"26-Jan-2015",0.1,0
"27-Jan-2015",0.8,0
"28-Jan-2015",0.5,0
"29-Jan-2015",1.5,0
"30-Jan-2015",1,0
"31-Jan-2015",0.9,0
"01-Feb-2015",0.1,0
"02-Feb-2015",0.5,0
"03-Feb-2015",0.2,0
"04-Feb-2015",0.5,0
"05-Feb-2015",0.6,0
"06-Feb-2015",1.4,0
"07-Feb-2015",0.4,0
"08-Feb-2015",0.7,0
"09-Feb-2015",0.7,0
"10-Feb-2015",0.4,0
"11-Feb-2015",0.1,0
"12-Feb-2015",0.1,0
"13-Feb-2015",0.1,0.47
"14-Feb-2015",1,0
"15-Feb-2015",0.6,0
"16-Feb-2015",0.2,0
"17-Feb-2015",0.6,0
"18-Feb-2015",0.2,0
"19-Feb-2015",0.5,0.18
"20-Feb-2015",1.4,10.96
"21-Feb-2015",0.4,0
"22-Feb-2015",0.2,0
"23-Feb-2015",0.7,0
"24-Feb-2015",0.5,0
"25-Feb-2015",0.5,0
"26-Feb-2015",0.4,0
"27-Feb-2015",0.2,10.19
"28-Feb-2015",0.8,0
"01-Mar-2015",0.2,0
"02-Mar-2015",0.3,2.39
"03-Mar-2015",0.8,2.3
"04-Mar-2015",0.6,1.03
"05-Mar-2015",0.2,0
"06-Mar-2015",0.8,0
"07-Mar-2015",2.2,0
"08-Mar-2015",1.2,0
"09-Mar-2015",0.8,0
"10-Mar-2015",0.6,0
"11-Mar-2015",0.6,0
"12-Mar-2015",1.4,0
"13-Mar-2015",0.8,0
"14-Mar-2015",0.7,0
"15-Mar-2015",0.6,0
"16-Mar-2015",0.8,0
"17-Mar-2015",2.8,0
"18-Mar-2015",0.9,0
"19-Mar-2015",1.3,0.06
"20-Mar-2015",1.4,0.01
"21-Mar-2015",2,0
"22-Mar-2015",1,0
"23-Mar-2015",2,0
"24-Mar-2015",1.9,0
"25-Mar-2015",2.5,0
"26-Mar-2015",1.6,0
"27-Mar-2015",1.9,4.33
"28-Mar-2015",2.3,0.94
"29-Mar-2015",0.7,0
"30-Mar-2015",1.5,0
"31-Mar-2015",3.3,27.72
"01-Apr-2015",1,1.08
"02-Apr-2015",1.5,0.65
"03-Apr-2015",2,4.99
"04-Apr-2015",1.1,0.14
"05-Apr-2015",0.7,7.66
"06-Apr-2015",1.2,12.45
"07-Apr-2015",1,18.41
"08-Apr-2015",2.3,13.3
"09-Apr-2015",1.3,1.16
"10-Apr-2015",2.4,0.61
"11-Apr-2015",2,0.19
"12-Apr-2015",1.3,3.91
"13-Apr-2015",4,12.27
"14-Apr-2015",2.2,1.05
"15-Apr-2015",2.3,0
"16-Apr-2015",2.4,0
"17-Apr-2015",2.3,1.77
"18-Apr-2015",4.1,45.41
"19-Apr-2015",3.9,7.93
"20-Apr-2015",2.9,0
"21-Apr-2015",3.5,0.1
"22-Apr-2015",3.4,1.17
"23-Apr-2015",3.4,2.54
"24-Apr-2015",2.5,1.83
"25-Apr-2015",3.1,12.31
"26-Apr-2015",3.5,0.39
"27-Apr-2015",4.7,0.96
"28-Apr-2015",4.4,3.31
"29-Apr-2015",5.2,26.82
"30-Apr-2015",6.8,1.27
"01-May-2015",5.7,4.76
"02-May-2015",6.8,0.53
"03-May-2015",5.8,3.88
"04-May-2015",7.1,2.63
"05-May-2015",5.9,4.75
"06-May-2015",2.7,1.24
"07-May-2015",4.1,2.24
"08-May-2015",6,1.75
"09-May-2015",6,0
"10-May-2015",4.2,0
"11-May-2015",5.7,15.89
"12-May-2015",7.5,1.7
"13-May-2015",6.9,2.47
"14-May-2015",7.2,14.86
"15-May-2015",6.5,4.61
"16-May-2015",5.3,4.11
"17-May-2015",5.6,37.09
"18-May-2015",4.2,17.47
"19-May-2015",4.6,20.13
"20-May-2015",7.1,6.94
"21-May-2015",4.9,12.36
"22-May-2015",7,13.99
"23-May-2015",4.7,3.71
"24-May-2015",5.9,13.81
"25-May-2015",6.5,0.25
"26-May-2015",6.8,18.29
"27-May-2015",8.6,10.22
"28-May-2015",10.4,0.33
"29-May-2015",7.1,24.5
"30-May-2015",4.3,16.12
"31-May-2015",7.1,14.84
"01-Jun-2015",11,13.85
"02-Jun-2015",7.8,14.13
"03-Jun-2015",10.1,5.56
"04-Jun-2015",8,20.41
"05-Jun-2015",12.8,45.69
"06-Jun-2015",9.3,22.92
"07-Jun-2015",12.9,57.65
"08-Jun-2015",10.5,50.67
"09-Jun-2015",15.2,21.59
"10-Jun-2015",14.1,27.94
"11-Jun-2015",14.3,43.31
"12-Jun-2015",21.8,22.73
"13-Jun-2015",21.9,15.47
"14-Jun-2015",13.5,23.69
"15-Jun-2015",16.3,9.76
"16-Jun-2015",16.4,9.35
"17-Jun-2015",19.5,7.88
"18-Jun-2015",20.2,43.54
"19-Jun-2015",19,11.71
"20-Jun-2015",16.6,8.08
"21-Jun-2015",17.9,4.76
"22-Jun-2015",18.5,7.09
"23-Jun-2015",19.4,45.94
"24-Jun-2015",24.7,15.07
"25-Jun-2015",19.1,1.12
"26-Jun-2015",24.2,6.38
"27-Jun-2015",22.6,11.97
"28-Jun-2015",18.6,23.31
"29-Jun-2015",22.3,11.09
"30-Jun-2015",29,28.23
"01-Jul-2015",31,85.23
"02-Jul-2015",28.5,15.38
"03-Jul-2015",21.1,32.32
"04-Jul-2015",19.8,37.45
"05-Jul-2015",21.7,22.33
"06-Jul-2015",27.2,18.45
"07-Jul-2015",21.1,2.57
"08-Jul-2015",25.8,47.61
"09-Jul-2015",24.7,0.83
"10-Jul-2015",23.8,30.02
"11-Jul-2015",22.1,19.07
"12-Jul-2015",23.5,25.98
"13-Jul-2015",24.1,7.45
"14-Jul-2015",26,19.81
"15-Jul-2015",25.3,80.65
"16-Jul-2015",19.4,24.48
"17-Jul-2015",24.6,13.68
"18-Jul-2015",27.7,4.53
"19-Jul-2015",24.1,17.03
"20-Jul-2015",22.4,33.12
"21-Jul-2015",26.8,11.26
"22-Jul-2015",28.7,6.65
"23-Jul-2015",20.8,22.61
"24-Jul-2015",25.7,17.88
"25-Jul-2015",28.9,27.93
"26-Jul-2015",26.4,1.89
"27-Jul-2015",22.2,0.11
"28-Jul-2015",32.7,2.38
"29-Jul-2015",20.7,0.48
"30-Jul-2015",24.3,1.15
"31-Jul-2015",25.2,3.28
"01-Aug-2015",21.1,5.74
"02-Aug-2015",14.6,4.64
"03-Aug-2015",18.6,1.23
"04-Aug-2015",15,3.27
"05-Aug-2015",16,70.07
"06-Aug-2015",11.9,72.09
"07-Aug-2015",20,1.12
"08-Aug-2015",19.8,6.94
"09-Aug-2015",19.5,26.53
"10-Aug-2015",18.4,0.99
"11-Aug-2015",22.7,25.51
"12-Aug-2015",22.6,17.38
"13-Aug-2015",15.2,32.7
"14-Aug-2015",20.5,25.18
"15-Aug-2015",17.1,8.65
"16-Aug-2015",16.6,12.97
"17-Aug-2015",22,26.78
"18-Aug-2015",17.6,28.93
"19-Aug-2015",17.8,46.41
"20-Aug-2015",20.3,46.68
"21-Aug-2015",19.8,18.78
"22-Aug-2015",14.7,4.35
"23-Aug-2015",18.2,3.11
"24-Aug-2015",21,28.33
"25-Aug-2015",23.3,36.54
"26-Aug-2015",20.5,13.7
"27-Aug-2015",18.2,31.46
"28-Aug-2015",14.6,57.13
"29-Aug-2015",11.6,1.8
"30-Aug-2015",14.2,103.91
"31-Aug-2015",12.1,64.3
"01-Sep-2015",14.4,105.58
"02-Sep-2015",16.3,31.36
"03-Sep-2015",16.6,1.96
"04-Sep-2015",17.1,24.75
"05-Sep-2015",19.2,16.69
"06-Sep-2015",24,15.54
"07-Sep-2015",17.1,19.03
"08-Sep-2015",14.7,20.26
"09-Sep-2015",10.7,0.17
"10-Sep-2015",14.4,0
"11-Sep-2015",19.5,6.52
"12-Sep-2015",14.9,1.3
"13-Sep-2015",14.1,3.92
"14-Sep-2015",15.5,11.26
"15-Sep-2015",17.3,28.37
"16-Sep-2015",16.8,7.97
"17-Sep-2015",12.8,0.21
"18-Sep-2015",12.7,0.14
"19-Sep-2015",16.5,0.3
"20-Sep-2015",11.4,44.51
"21-Sep-2015",8.1,64.22
"22-Sep-2015",8.1,47.18
"23-Sep-2015",15.7,6.66
"24-Sep-2015",8.6,56.7
"25-Sep-2015",8.3,15.98
"26-Sep-2015",10.8,9.3
"27-Sep-2015",12.7,0.2
"28-Sep-2015",13.9,0
"29-Sep-2015",12.6,0
"30-Sep-2015",9.4,0
"01-Oct-2015",12.1,0
"02-Oct-2015",9.5,0.15
"03-Oct-2015",7.9,31.01
"04-Oct-2015",10.7,19.54
"05-Oct-2015",16.4,0
"06-Oct-2015",4.3,0
"07-Oct-2015",5.1,0
"08-Oct-2015",2.3,0
"09-Oct-2015",3.1,2.84
"10-Oct-2015",4.8,0.28
"11-Oct-2015",2.8,9.78
"12-Oct-2015",3.8,0.01
"13-Oct-2015",5.6,0.02
"14-Oct-2015",3.4,0.03
"15-Oct-2015",4.1,0.03
"16-Oct-2015",1.3,0
"17-Oct-2015",3.2,2.39
"18-Oct-2015",6.1,0
"19-Oct-2015",3.4,0
"20-Oct-2015",2,1.44
"21-Oct-2015",1.5,0.71
"22-Oct-2015",3,0.71
"23-Oct-2015",1.8,0.12
"24-Oct-2015",2.4,6.9
"25-Oct-2015",0.8,0
"26-Oct-2015",1,0
"27-Oct-2015",0.8,0
"28-Oct-2015",0.2,0
"29-Oct-2015",0,0
"30-Oct-2015",0.8,0
"31-Oct-2015",1.1,0
"01-Nov-2015",0.8,0
"02-Nov-2015",0.5,0
"03-Nov-2015",0.9,1.6
"04-Nov-2015",0.9,12.3
"05-Nov-2015",0.7,1.99
"06-Nov-2015",0.2,2.93
"07-Nov-2015",0.7,5.71
"08-Nov-2015",0.2,0
"09-Nov-2015",0.2,0
"10-Nov-2015",0.1,0
"11-Nov-2015",0.2,0
"12-Nov-2015",0.4,0
"13-Nov-2015",0.1,0
"14-Nov-2015",0.2,0
"15-Nov-2015",0.4,0.38
"16-Nov-2015",0.1,1.77
"17-Nov-2015",0,4.58
"18-Nov-2015",0.2,0.34
"19-Nov-2015",0.1,0
"20-Nov-2015",0.2,0
"21-Nov-2015",0.4,0
"22-Nov-2015",0.3,0
"23-Nov-2015",0.1,0
"24-Nov-2015",0,0
"25-Nov-2015",0,0
"26-Nov-2015",0.2,0
"27-Nov-2015",0.2,0
"28-Nov-2015",0.3,0
"29-Nov-2015",0.5,0
"30-Nov-2015",0.8,0
"01-Dec-2015",0.6,0
"02-Dec-2015",0.2,0
"03-Dec-2015",0.3,1.61
"04-Dec-2015",0,1.29
"05-Dec-2015",0.1,0
"06-Dec-2015",0.2,0
"07-Dec-2015",0,0
"08-Dec-2015",0,0
"09-Dec-2015",0.1,0
"10-Dec-2015",0,0
"11-Dec-2015",0.1,0
"12-Dec-2015",0.2,0
"13-Dec-2015",0,0
"14-Dec-2015",0,0
"15-Dec-2015",0.1,0
"16-Dec-2015",0,0
"17-Dec-2015",0,0
"18-Dec-2015",0.2,0
"19-Dec-2015",0.2,0
"20-Dec-2015",0,0
"21-Dec-2015",0,0
"22-Dec-2015",0,0
"23-Dec-2015",0,0
"24-Dec-2015",0,0
"25-Dec-2015",0,0
"26-Dec-2015",0.1,0
"27-Dec-2015",0.5,0
"28-Dec-2015",0.4,0
"29-Dec-2015",0.1,0
"30-Dec-2015",0,0
"31-Dec-2015",0.2,0
"01-Jan-2016",0,0.22
"02-Jan-2016",0.2,0
"03-Jan-2016",0.4,0
"04-Jan-2016",0.7,0
"05-Jan-2016",1.2,0
"06-Jan-2016",0.1,0
"07-Jan-2016",0.5,0
"08-Jan-2016",0.3,0
"09-Jan-2016",1.8,0.02
"10-Jan-2016",1.5,2.47
"11-Jan-2016",0,0.02
"12-Jan-2016",0.1,0
"13-Jan-2016",0.2,0
"14-Jan-2016",0,0.04
"15-Jan-2016",0.5,0
"16-Jan-2016",0.5,0
"17-Jan-2016",0.4,0
"18-Jan-2016",0.3,0
"19-Jan-2016",0.6,0
"20-Jan-2016",0.2,4.74
"21-Jan-2016",0.4,0
"22-Jan-2016",0.6,1.02
"23-Jan-2016",0.7,0
"24-Jan-2016",0.4,0
"25-Jan-2016",0.5,0
"26-Jan-2016",0.1,0
"27-Jan-2016",0.8,0.05
"28-Jan-2016",0.5,0.04
"29-Jan-2016",1.5,0
"30-Jan-2016",1,0
"31-Jan-2016",0.9,0.21
"01-Feb-2016",0.1,0
"02-Feb-2016",0.5,0.28
"03-Feb-2016",0.2,0.33
"04-Feb-2016",0.5,0.01
"05-Feb-2016",0.6,0
"06-Feb-2016",1.4,0
"07-Feb-2016",0.4,0
"08-Feb-2016",0.7,0
"09-Feb-2016",0.7,2.09
"10-Feb-2016",0.4,0
"11-Feb-2016",0.1,0.02
"12-Feb-2016",0.1,0
"13-Feb-2016",0.1,0
"14-Feb-2016",1,0
"15-Feb-2016",0.6,0
"16-Feb-2016",0.2,0
"17-Feb-2016",0.6,0
"18-Feb-2016",0.2,0
"19-Feb-2016",0.5,0
"20-Feb-2016",1.4,0
"21-Feb-2016",0.4,0.02
"22-Feb-2016",0.2,0
"23-Feb-2016",0.7,0
"24-Feb-2016",0.5,0
"25-Feb-2016",0.5,0
"26-Feb-2016",0.4,0.01
"27-Feb-2016",0.2,0
"28-Feb-2016",0.8,0.05
"29-Feb-2016",0,0.02
"01-Mar-2016",0.2,0.03
"02-Mar-2016",0.3,1.24
"03-Mar-2016",0.8,0.24
"04-Mar-2016",0.6,1.28
"05-Mar-2016",0.2,0.03
"06-Mar-2016",0.8,0.85
"07-Mar-2016",2.2,0.31
"08-Mar-2016",1.2,1.08
"09-Mar-2016",0.8,5.02
"10-Mar-2016",0.6,0
"11-Mar-2016",0.6,0
"12-Mar-2016",1.4,0
"13-Mar-2016",0.8,0
"14-Mar-2016",0.7,0
"15-Mar-2016",0.6,0
"16-Mar-2016",0.8,0.63
"17-Mar-2016",2.8,0.29
"18-Mar-2016",0.9,0
"19-Mar-2016",1.3,0.05
"20-Mar-2016",1.4,0
"21-Mar-2016",2,2.01
"22-Mar-2016",1,0.66
"23-Mar-2016",2,0.08
"24-Mar-2016",1.9,0
"25-Mar-2016",2.5,0
"26-Mar-2016",1.6,0
"27-Mar-2016",1.9,0
"28-Mar-2016",2.3,38.22
"29-Mar-2016",0.7,17.79
"30-Mar-2016",1.5,7.9
"31-Mar-2016",3.3,2.57
"01-Apr-2016",1,4.93
"02-Apr-2016",1.5,0
"03-Apr-2016",2,0
"04-Apr-2016",1.1,0.07
"05-Apr-2016",0.7,0.13
"06-Apr-2016",1.2,31.48
"07-Apr-2016",1,0.78
"08-Apr-2016",2.3,1.05
"09-Apr-2016",1.3,0.06
"10-Apr-2016",2.4,0
"11-Apr-2016",2,0
"12-Apr-2016",1.3,0
"13-Apr-2016",4,0
"14-Apr-2016",2.2,0
"15-Apr-2016",2.3,3.96
"16-Apr-2016",2.4,1.38
"17-Apr-2016",2.3,0.86
"18-Apr-2016",4.1,0.71
"19-Apr-2016",3.9,4.65
"20-Apr-2016",2.9,0.08
"21-Apr-2016",3.5,4.26
"22-Apr-2016",3.4,1.27
"23-Apr-2016",3.4,0.41
"24-Apr-2016",2.5,0.14
"25-Apr-2016",3.1,0
"26-Apr-2016",3.5,0
"27-Apr-2016",4.7,0
"28-Apr-2016",4.4,0
"29-Apr-2016",5.2,31.62
"30-Apr-2016",6.8,0.17
"01-May-2016",5.7,6.73
"02-May-2016",6.8,0
"03-May-2016",5.8,0
"04-May-2016",7.1,9.19
"05-May-2016",5.9,4.94
"06-May-2016",2.7,16.55
"07-May-2016",4.1,4.64
"08-May-2016",6,0.9
"09-May-2016",6,5.5
"10-May-2016",4.2,0.33
"11-May-2016",5.7,12.76
"12-May-2016",7.5,0.06
"13-May-2016",6.9,3.29
"14-May-2016",7.2,15.61
"15-May-2016",6.5,6.39
"16-May-2016",5.3,7.07
"17-May-2016",5.6,2.32
"18-May-2016",4.2,9.39
"19-May-2016",4.6,0.1
"20-May-2016",7.1,5.16
"21-May-2016",4.9,1.23
"22-May-2016",7,0
"23-May-2016",4.7,0.05
"24-May-2016",5.9,18.38
"25-May-2016",6.5,5.56
"26-May-2016",6.8,3.33
"27-May-2016",8.6,19.81
"28-May-2016",10.4,0
"29-May-2016",7.1,20.26
"30-May-2016",4.3,21.76
"31-May-2016",7.1,26.2
"01-Jun-2016",11,17.82
"02-Jun-2016",7.8,0.12
"03-Jun-2016",10.1,0
"04-Jun-2016",8,27.81
"05-Jun-2016",12.8,1.18
"06-Jun-2016",9.3,39.73
"07-Jun-2016",12.9,12.02
"08-Jun-2016",10.5,25.2
"09-Jun-2016",15.2,10.86
"10-Jun-2016",14.1,6.25
"11-Jun-2016",14.3,26.4
"12-Jun-2016",21.8,9.73
"13-Jun-2016",21.9,91.04
"14-Jun-2016",13.5,124.46
"15-Jun-2016",16.3,5.72
"16-Jun-2016",16.4,3.56
"17-Jun-2016",19.5,1.27
"18-Jun-2016",20.2,10.66
"19-Jun-2016",19,54.56
"20-Jun-2016",16.6,29.75
"21-Jun-2016",17.9,112.44
"22-Jun-2016",18.5,29.88
"23-Jun-2016",19.4,20.73
"24-Jun-2016",24.7,69.94
